org,code,date,description,price,qt
ELE,MTG,2020-09-03,Meeting,22.5,1
ELE,DEV,2020-09-04,Web Development,45,2
ELE,MTG,2020-09-10,Meeting,22.5,1
ELE,DEV,2020-09-11,Web Development,45,2
ELE,DEV,2020-09-14,Web Development,45,3
ELE,MTG,2020-09-17,Meeting,22.5,1
ELE,DEV,2020-09-17,Web Development,45,2
ELE,DEV,2020-09-22,Web Development,45,2
ELE,DEV,2020-09-23,Web Development,45,2
ELE,DEV,2020-09-24,Web Development,45,1
ELE,MTG,2020-09-24,Meeting,22.5,1
ELE,DEV,2020-09-28,Web Development,45,1
ELE,DEV,2020-09-29,Web Development,45,2
ELE,MTG,2020-10-01,Meeting,22.5,1
ELE,DEV,2020-10-02,Web Development,45,2
ELE,DEV,2020-10-03,Web Development,45,1
ELE,MTG,2020-10-07,Meeting,22.5,0.5
ELE,MTG,2020-10-19,Meeting,22.5,0.5
ELE,DEV,2020-10-19,Web Development,45,1
ELE,DEV,2020-10-20,Web Development,45,2
ELE,DEV,2020-10-21,Web Development,45,2
ELE,MTG,2020-10-22,Meeting,22.5,1.5
ELE,DEV,2020-10-22,Web Development,45,3
ELE,DEV,2020-10-23,Web Development,45,3
ELE,DEV,2020-10-24,Web Development,45,2
ELE,MTG,2020-10-24,Meeting,22.5,1
ELE,DEV,2020-10-28,Web Development,45,1
ELE,MTG,2020-10-29,Meeting,22.5,1
ELE,DEV,2020-11-02,Web Development,45,1
ELE,DEV,2020-11-03,Web Development,45,2
ELE,DEV,2020-11-04,Web Development,45,2
ELE,MTG,2020-11-05,Meeting,22.5,1
ELE,DEV,2020-11-05,Web Development,45,2
ELE,DEV,2020-11-06,Web Development,45,3
ELE,DEV,2020-11-10,Web Development,45,1
ELE,DEV,2020-11-12,Web Development,45,1
ELE,MTG,2020-11-12,Meeting,22.5,0.5
